spec:SSSOM,spec:R4,spec:R5
MappingSet.comment,extension,extension
MappingSet.creator_id,identifier.assigner.reference,identifier.assigner.reference
MappingSet.creator_label,identifier.assigner.display,identifier.assigner.display
MappingSet.creator_label,publisher,publisher
MappingSet.creator_label,contact.name,contact.name
MappingSet.license,copyright,copyright
MappingSet.mapping_date,date,date
MappingSet.mapping_date,identifier.period.start,identifier.period.start
MappingSet.mapping_date,.,approvalDate
MappingSet.mapping_date,.,lastReviewDate
MappingSet.mapping_date,.,effectivePeriod.start
.,.,effectivePeriod.end
MappingSet.mapping_provider,extension,extension
MappingSet.mapping_set_description,description,description
MappingSet.mapping_set_id,url,url
MappingSet.mapping_set_id,title,title
MappingSet.mapping_set_id,name,name
MappingSet.mapping_set_id,identifier.value,identifier.value
MappingSet.mapping_set_source,extension,extension
MappingSet.mapping_set_version,version,version
MappingSet.mapping_tool,extension,extension
MappingSet.mappings,.,.
MappingSet.object_match_field,extension,extension
MappingSet.object_preprocessing,extension,extension
MappingSet.object_source,targetCanonical,targetScopeCanonical
MappingSet.object_source,targetUri,targetScopeUri
MappingSet.object_source,group.target,group.target
MappingSet.object_source_version,group.targetVersion,extension
MappingSet.object_type,extension,extension
MappingSet.other,extension,extension
MappingSet.see_also,extension,extension
MappingSet.subject_match_field,extension,extension
MappingSet.subject_preprocessing,extension,extension
MappingSet.subject_source,sourceCanonical,sourceScopeCanonical
MappingSet.subject_source,sourceUri,sourceScopeUri
MappingSet.subject_source,group.source,group.source
MappingSet.subject_source_version,group.sourceVersion,extension
Mapping.subject_type,group.element.target.extension,group.element.target.extension
Mapping.author_id,group.element.target.extension,group.element.target.extension
Mapping.author_label,group.element.target.extension,group.element.target.extension
Mapping.comment,group.element.target.comment,group.element.target.comment
Mapping.confidence,group.element.target.extension,group.element.target.extension
Mapping.creator_id,group.element.target.extension,group.element.target.extension
Mapping.creator_label,group.element.target.extension,group.element.target.extension
Mapping.license,group.element.target.extension,group.element.target.extension
Mapping.mapping_cardinality,group.element.target.extension,group.element.target.extension
Mapping.mapping_date,group.element.target.extension,group.element.target.extension
Mapping.mapping_justification,group.element.target.extension,group.element.target.extension
Mapping.mapping_provider,group.element.target.extension,group.element.target.extension
Mapping.mapping_tool,group.element.target.extension,group.element.target.extension
Mapping.mapping_tool_version,group.element.target.extension,group.element.target.extension
Mapping.match_string,group.element.target.extension,group.element.target.extension
Mapping.object_category,group.element.target.extension,group.element.target.extension
Mapping.object_id,group.element.target.code,group.element.target.code
Mapping.object_label,group.element.target.display,group.element.target.display
Mapping.object_match_field,group.element.target.extension,group.element.target.extension
Mapping.object_preprocessing,group.element.target.extension,group.element.target.extension
Mapping.object_source,group.element.target.extension,group.element.target.extension
Mapping.object_source_version,group.element.target.extension,group.element.target.extension
Mapping.object_type,group.element.target.extension,group.element.target.extension
Mapping.other,group.element.target.extension,group.element.target.extension
Mapping.predicate_id,group.element.target.equivalence,group.element.target.relationship
.,.,group.element.target.valueSet
Mapping.predicate_id,group.element.target.dependsOn.value,group.element.target.dependsOn.valueCode
Mapping.predicate_id,group.element.target.dependsOn.property,group.element.target.dependsOn.property
.,.,group.element.target.dependsOn.valueSet
Mapping.predicate_id,group.element.target.dependsOn.system,.
.,group.element.target.product,group.element.target.product
Mapping.predicate_label,group.element.target.dependsOn.display,group.element.target.dependsOn.valueString
Mapping.predicate_modifier,.,.
Mapping.reviewer_id,group.element.target.extension,group.element.target.extension
Mapping.reviewer_label,group.element.target.extension,group.element.target.extension
